Gender,Month,-3SD,-2SD,1SD,2SD
F,0,11.2,12.1,14.7,15.9
F,1,12.1,13.2,16.1,17.3
F,2,13.2,14.3,17.4,18.8
F,3,13.7,14.9,18,19.4
F,4,14,15.2,18.3,19.8
F,5,14.2,15.3,18.5,20
F,6,14.3,15.4,18.6,20.1
F,7,14.3,15.4,18.6,20.1
F,8,14.3,15.4,18.5,20
F,9,14.2,15.3,18.4,19.9
F,10,14.1,15.2,18.2,19.7
F,11,14,15.1,18.1,19.6
F,12,13.9,15,17.9,19.4
F,13,13.8,14.8,17.8,19.2
F,14,13.7,14.7,17.7,19.1
F,15,13.7,14.6,17.5,19
F,16,13.6,14.6,17.4,18.8
F,17,13.5,14.5,17.3,18.7
F,18,13.4,14.4,17.2,18.6
F,19,13.4,14.3,17.2,18.5
F,20,13.3,14.3,17.1,18.5
F,21,13.3,14.2,17,18.4
F,22,13.3,14.2,17,18.3
F,23,13.2,14.2,16.9,18.3
F,24,13.2,14.1,16.9,18.2
F,25,13.4,14.4,17.1,18.5
F,26,13.4,14.4,17.1,18.5
F,27,13.4,14.3,17.1,18.4
F,28,13.4,14.3,17,18.4
F,29,13.4,14.3,17,18.4
F,30,13.3,14.3,17,18.3
F,31,13.3,14.2,17,18.3
F,32,13.3,14.2,16.9,18.3
F,33,13.3,14.2,16.9,18.3
F,34,13.2,14.2,16.9,18.2
F,35,13.2,14.1,16.9,18.2
F,36,13.2,14.1,16.9,18.2
F,37,13.2,14.1,16.8,18.2
F,38,13.2,14.1,16.8,18.2
F,39,13.1,14.1,16.8,18.2
F,40,13.1,14,16.8,18.2
F,41,13.1,14,16.8,18.2
F,42,13.1,14,16.8,18.2
F,43,13,14,16.8,18.2
F,44,13,14,16.8,18.2
F,45,13,14,16.8,18.3
F,46,13,13.9,16.8,18.3
F,47,13,13.9,16.8,18.3
F,48,12.9,13.9,16.8,18.3
F,49,12.9,13.9,16.8,18.3
F,50,12.9,13.9,16.8,18.3
F,51,12.9,13.9,16.8,18.4
F,52,12.9,13.9,16.9,18.4
F,53,12.9,13.9,16.9,18.4
F,54,12.9,13.9,16.9,18.4
F,55,12.9,13.9,16.9,18.4
F,56,12.8,13.8,16.9,18.5
F,57,12.8,13.8,16.9,18.5
F,58,12.8,13.8,16.9,18.5
F,59,12.8,13.8,16.9,18.5
F,60,12.8,13.8,17,18.6
F,61,11.8,12.6,16.8,18.8
F,62,11.8,12.6,16.8,18.8
F,63,11.8,12.6,16.8,18.8
F,64,11.7,12.6,16.8,18.9
F,65,11.7,12.6,16.8,18.9
F,66,11.7,12.6,16.8,18.9
F,67,11.7,12.6,16.8,18.9
F,68,11.7,12.6,16.8,18.9
F,69,11.7,12.6,16.9,19.1
F,70,11.7,12.6,16.9,19.1
F,71,11.7,12.6,16.9,19.1
F,72,11.7,12.6,16.9,19.1
F,73,11.7,12.6,16.9,19.1
F,74,11.7,12.6,16.9,19.1
F,75,11.7,12.6,16.9,19.1
F,76,11.7,12.6,17,19.4
F,77,11.7,12.6,17,19.4
F,78,11.7,12.6,17,19.4
F,79,11.7,12.6,17,19.4
F,80,11.7,12.6,17,19.4
F,81,11.7,12.6,17.2,19.7
F,82,11.8,12.6,17.2,19.7
F,83,11.8,12.6,17.2,19.7
F,84,11.8,12.6,17.2,19.7
F,85,11.8,12.6,17.2,19.7
F,86,11.8,12.6,17.2,19.7
F,87,11.8,12.7,17.4,20
F,88,11.8,12.7,17.4,20
F,89,11.8,12.7,17.4,20
F,90,11.8,12.7,17.4,20
F,91,11.8,12.7,17.4,20
F,92,11.8,12.7,17.4,20
F,93,11.9,12.8,17.6,20.5
F,94,11.9,12.8,17.6,20.5
F,95,11.9,12.8,17.6,20.5
F,96,11.9,12.8,17.6,20.5
F,97,11.9,12.8,17.6,20.5
F,98,11.9,12.8,17.6,20.5
F,99,12,12.9,17.9,20.9
F,100,12,12.9,17.9,20.9
F,101,12,12.9,17.9,20.9
F,102,12,12.9,17.9,20.9
F,103,12,12.9,17.9,20.9
F,104,12,12.9,17.9,20.9
F,105,12.1,13,18.2,21.4
F,106,12.1,13,18.2,21.4
F,107,12.1,13,18.2,21.4
F,108,12.1,13,18.2,21.4
F,109,12.1,13,18.2,21.4
F,110,12.1,13,18.2,21.4
F,111,12.2,13,18.6,21.9
F,112,12.2,13,18.6,21.9
F,113,12.2,13,18.6,21.9
F,114,12.2,13,18.6,21.9
F,115,12.2,13,18.6,21.9
F,116,12.2,13,18.6,21.9
F,117,12.4,13.4,18.9,22.5
F,118,12.4,13.4,18.9,22.5
F,119,12.4,13.4,18.9,22.5
F,120,12.4,13.4,18.9,22.5
F,121,12.4,13.4,18.9,22.5
F,122,12.4,13.4,18.9,22.5
F,123,12.5,13.6,19.3,23
F,124,12.5,13.6,19.3,23
F,125,12.5,13.6,19.3,23
